site,date,tmean_C,tmin_C,tmax_C
20941701,2021-07-01,20.588298797607422,16.8887996673584,24.288000106811523
20941701,2021-07-02,20.404800415039063,16.607999801635742,24.201799392700195
20941701,2021-07-03,22.410398483276367,15.431699752807617,29.38920021057129
20941701,2021-07-04,22.332199096679688,14.258399963378906,30.406198501586914
20941701,2021-07-05,22.04749870300293,13.754300117492676,30.34079933166504
20941701,2021-07-06,21.61199951171875,13.513199806213379,29.71099853515625
20941701,2021-07-07,23.32029914855957,14.155099868774414,32.48569869995117
20941701,2021-07-08,18.10070037841797,12.638699531555176,23.56279945373535
20941701,2021-07-09,19.112899780273438,12.27299976348877,25.952999114990234
20941701,2021-07-10,22.06399917602539,12.670299530029297,31.45789909362793
20941701,2021-07-11,22.335899353027344,13.665899276733398,31.006099700927734
20941701,2021-07-12,21.714799880981445,13.02649974822998,30.403200149536133
20941701,2021-07-13,21.80889892578125,13.331199645996094,30.28679847717285
20941701,2021-07-14,21.565500259399414,13.170999526977539,29.9601993560791
20941701,2021-07-15,20.929399490356445,13.226099967956543,28.632898330688477
20941701,2021-07-16,19.738300323486328,12.826299667358398,26.65049934387207
20941701,2021-07-17,19.215999603271484,12.678499221801758,25.753599166870117
20941701,2021-07-18,20.519800186157227,13.121199607849121,27.918498992919922
20941701,2021-07-19,21.615699768066406,13.059700012207031,30.171798706054688
20941701,2021-07-20,22.58049964904785,14.1697998046875,30.99129867553711
20941701,2021-07-21,19.762100219726563,13.08430004119873,26.440099716186523
20941701,2021-07-22,17.233400344848633,10.824699401855469,23.64229965209961
20941701,2021-07-23,18.92449951171875,10.656299591064453,27.192798614501953
20941701,2021-07-24,20.788799285888672,12.00879955291748,29.568899154663086
20941701,2021-07-25,23.792200088500977,14.939099311828613,32.64540100097656
20941701,2021-07-26,23.60369873046875,14.811299324035645,32.39619827270508
20941701,2021-07-27,23.22559928894043,14.664599418640137,31.786699295043945
20941701,2021-07-28,22.90869903564453,14.922800064086914,30.894798278808594
20941701,2021-07-29,24.652299880981445,15.461199760437012,33.843597412109375
20941701,2021-07-30,26.654298782348633,16.963998794555664,36.34469985961914
20941701,2021-07-31,26.091699600219727,19.27829933166504,32.90520095825195
20941701,2021-08-01,23.646799087524414,18.545700073242188,28.74799919128418
20941701,2021-08-02,23.89539909362793,15.566499710083008,32.2244987487793
20941701,2021-08-03,24.32670021057129,14.864899635314941,33.788700103759766
20941701,2021-08-04,24.069799423217773,15.812599182128906,32.32709884643555
20941701,2021-08-05,25.033199310302734,15.239099502563477,34.82740020751953
20941701,2021-08-06,22.974599838256836,17.504098892211914,28.44529914855957
20941701,2021-08-07,21.947500228881836,16.33300018310547,27.562198638916016
20941701,2021-08-08,20.768598556518555,13.796899795532227,27.74049949645996
20941701,2021-08-09,18.795000076293945,12.683699607849121,24.9064998626709
20941701,2021-08-10,21.394100189208984,13.561899185180664,29.226499557495117
20941701,2021-08-11,24.58879852294922,15.948699951171875,33.229000091552734
20941701,2021-08-12,28.57109832763672,18.479598999023438,38.66279983520508
20941701,2021-08-13,29.46579933166504,19.82149887084961,39.110198974609375
20941701,2021-08-14,27.055198669433594,19.333398818969727,34.777099609375
20941701,2021-08-15,25.796798706054688,18.25510025024414,33.33869934082031
20941701,2021-08-16,25.557899475097656,16.188199996948242,34.927799224853516
20941701,2021-08-17,22.15839958190918,14.610199928283691,29.706600189208984
20941701,2021-08-18,17.189899444580078,12.928199768066406,21.45170021057129
20941701,2021-08-19,19.680599212646484,12.130000114440918,27.231399536132813
20941701,2021-08-20,20.54170036315918,13.783199310302734,27.300399780273438
20941701,2021-08-21,18.506999969482422,14.472099304199219,22.542098999023438
20941701,2021-08-22,17.713699340820313,13.91309928894043,21.51449966430664
20941701,2021-08-23,14.528299331665039,9.110199928283691,19.94659996032715
20941701,2021-08-24,15.516200065612793,8.133099555969238,22.899499893188477
20941701,2021-08-25,19.44719886779785,9.250999450683594,29.64349937438965
20941701,2021-08-26,19.036399841308594,11.833699226379395,26.239299774169922
20941701,2021-08-27,19.615598678588867,14.661199569702148,24.570199966430664
20941701,2021-08-28,16.791799545288086,11.048199653625488,22.535598754882813
20941701,2021-08-29,20.217100143432617,9.8246002197265625,30.609699249267578
20941701,2021-08-30,21.25739860534668,11.548399925231934,30.96649932861328
20941701,2021-08-31,15.753999710083008,10.401700019836426,21.106399536132813
20012624,2021-07-01,18.468399047851563,13.842599868774414,23.094398498535156
20012624,2021-07-02,16.46780014038086,13.391499519348145,19.544300079345703
20012624,2021-07-03,18.399599075317383,12.369400024414063,24.429899215698242
20012624,2021-07-04,19.486000061035156,12.327799797058105,26.644399642944336
20012624,2021-07-05,18.93939971923828,12.234999656677246,25.643999099731445
20012624,2021-07-06,18.989500045776367,11.357500076293945,26.62150001525879
20012624,2021-07-07,21.156200408935547,12.336799621582031,29.975799560546875
20012624,2021-07-08,15.943499565124512,11.048600196838379,20.838499069213867
20012624,2021-07-09,16.253599166870117,9.8274993896484375,22.679800033569336
20012624,2021-07-10,19.204099655151367,9.790299415588379,28.618000030517578
20012624,2021-07-11,19.3179988861084,11.761799812316895,26.874399185180664
20012624,2021-07-12,18.726598739624023,10.667799949645996,26.785598754882813
20012624,2021-07-13,18.774200439453125,11.554900169372559,25.99359893798828
20012624,2021-07-14,18.736099243164063,11.145999908447266,26.326398849487305
20012624,2021-07-15,17.93779945373535,11.033100128173828,24.842599868774414
20012624,2021-07-16,16.357799530029297,10.09179973602295,22.623899459838867
20012624,2021-07-17,15.223099708557129,9.502299308776855,20.94409942626953
